x	y
644	281
644	293
656	277
656	286
646	270
624	269
635	265
623	264
635	258
631	250
635	246
638	235
641	227
648	218
651	224
656	217
657	209
664	207
667	202
675	198
689	192
679	192
684	188
688	184
699	184
716	182
705	176
715	171
725	165
746	160
728	171
737	155
745	151
756	145
722	204
709	211
700	212
691	216
679	221
649	253
652	246
657	241
669	235
680	235
696	232
706	226
755	230
697	246
687	257
679	247
674	256
669	260
659	269
690	261
696	306
697	298
699	288
699	282
703	274
707	263
711	257
718	304
719	297
724	288
728	281
739	273
743	266
750	261
755	259
762	254
769	248
777	244
781	238
